ABIS CAN, Abis Canadensis-Pinus Canadensis, Hemlock Spruce\1
91  ,4   ,4   ,16  ,16  
AQUA MARINA, Aqua Marina, Isotonic Plasma\92
92  ,17  ,20  ,83  ,70  
AQUILEGIA, Aquilegia, Columbine\93
93  ,8   ,8   ,38  ,38  
ARAGALLUS, Aragallus Lamberti, White Loco Weed - Rattle Weed\94
94  ,31  ,33  ,150 ,138 
ARALIA, Aralia Racemosa, American Spikenard\95
95  ,16  ,16  ,63  ,63  
ARANEA DIADEMA, Arenea Diadema, Papal-Cross Spider\96
96  ,37  ,37  ,148 ,148 
ARANEA SCIENTICA, Aranea Scientica, Grey Spider\97
97  ,3   ,3   ,13  ,13  
ARBUTIN, Arbutin, a Crystallized Glucoside of Uva\98
98  ,0   ,0   ,0   ,0   
ARBUTUS, Arbutus Andrachne, Strawberry Tree\99
99  ,6   ,6   ,24  ,24  
ARCTOSPHYLOS MANZANITA, Arctosphylos Manzanita\100
100 ,4   ,4   ,16  ,16  
ARECA, Areca, Betel Nut\101
101 ,2   ,2   ,8   ,8   
ARGEMONE, Argemone Mexicana, Prickly Poppy\102
102 ,20  ,20  ,79  ,79  
ARG-C, Argentium Cyanatum, Silver Cyanide\103
103 ,5   ,5   ,20  ,20  
ARG-M, Argentum Metallicum, Silver\104
104 ,68  ,70  ,284 ,276 
ARG-N, Argentium Nitricum, Silver Nitrate*\105
105 ,158 ,161 ,683 ,671 
ARG-O, Argentium Oxyd., Silver Oxide\106
106 ,1   ,1   ,4   ,4   
ARG-P, Argentium Phosph., Silver Phosphate\107
107 ,1   ,1   ,4   ,4   
ARIST-C, Aristolochia Clematitis, The Birthwort*\108
108 ,21  ,21  ,87  ,87  
ARIST-M, Aristolochia Milhomens, Brazilian Snake Root\109
109 ,9   ,9   ,36  ,36  
ARIST-S, Aristolochia Serpentaria, Virginia Snake Root\110
110 ,7   ,7   ,28  ,28  
ARN, Arnica Montana, Leopard's Bane (Mountain Daisy)*\111
111 ,202 ,202 ,834 ,834 
ARS AGRIMONIA, Arsenic Agrimonia\112
