drawing tensive
dread alarm
dreadful alarming
drenched sodden
dried parched, scybala
drinker alcoholic
drinkers alcoholics
driven repercussed
driving impelling
drooling spluttering
droop languor
drooping languid
dropsy anasarca, ascites
drove impelled
drowsiness somnolence, sopor
drum tympanic, tympanum
drum-belly tympanites
drunk besotted, tipsy
drunk-looking besotted-looking
drunkenness inebriety, intoxication, alcoholism
dry parched, sicca, arid
duchenne's pseudo-hypertrophic
dull leaden-colored, lusterless, obtuse
dum-dum kala-azar
dumb dumb-ague, aphasia, speechless
dumbness mutinism, speechlessness
dung feces
dyscrasia cachesia, dyscratic
dyscrasic dyscrasia, cachectic, dyscratic, cachetic
dyscratic dyscrasia
dysentery amebic, amebiasis
dysmenia dysmenorrhea
ear mastoid, auricle, tympanum
earache otalgia
earlier previous
earliest anterior
early premature, prematurely
ears tinnitus
earwax cerumen
eating halophagia, ingesting, ingestion, lupus, coprophagia
ebb reflux
echo reverberate, reverberation
echoing reverberating
ectropion everted
ectropium ectropion
eczamatous tettery
eczema favus, herpes, impetigo, lupus, blear-eyed, pemphigus, porrigo, psoriasis, tetter
eczemas tetters
edema dropsy, dropsical
edemas dropsies
edematous urticaria, urticaria
effervescences ebullitions
effervescent ebullition, sputtering
effort nisus
egotistical haughty, arrogant
elasticity pliability
elephantiasis pellagra
elevated exalted
emaciated cadaverous, scrawny
emaciation malnutrition, tabes
embarrassment chagrin
embers clinkers
eminence protuberance
eminences protuberances
emprosthotonos opisthotonos
end conclusion
endemicum pellagra
endomoeba amebiasis
energized invigorated
energy enervated
engrosed preoccupied
ensiform xiphoid
ensued supervened
ensues supervenes
entamoeba endamoebic
enteric typhoid
enterogastritis gastroenteritis
enthuiastic irrepressible
entropion entropium
epidemic mumps
epidermis cutis, cutaneous, cutile
episternal suprasternal
episternum manubrium
erect turgid
erethism erethrism, erithism
erethrism erethism, erithism
ergotism erysipelas, erysipelatous
erithism erethism, erethrism
eroded abraded
erotic amative
eructating belching
eructation heartburn
eruption excrescences
eruptions exanthema
eruptive exanthemata
erysipela ergotism
erysipelas erysipelatous
erysipelatous ergotism, erysipelas
erythema pellagra
esophagus windpipe
espundia kala-azar
essence soul
esteem appreciate
eversion ectropion
every quartan
evil scrofula, strumous, wickedness
ex-ophthalmic exophthalmic
exact meticulous
exacting conscientious
exanthematic scarlatina
exasperated vexed
exasperating vexatious
exasperation vexation
excess indulgence, plethora, plethoric, repletion
excesses indulgences
excessive galactorrhea, hyperaesthesia, hypertrophic, hypertrophy, immoderate, bulimia, biliousness
excessively inordinately
exchange interchange
excited agitated
excoriation intertrigo
excrete defecate
excretion oliguria
excruciating fulgurating, racking
exhausted effete, prostrated
exhaustion lassitude, prostration
exophthalmic ex-ophthalmic
expertise ability
expression countenance
extensive copious
extensively copiously
external extrinsic, auricle
eye intra-ocular, pterygium, retro-bulbar, sclerotica, supra-orbital
eye-strain eyestrain
eyebrow palpebral, superciliary
eyelash ciliaris, ciliary
eyelid chalaza
eyelids blepharitis
eyes lagophthalmus, oculi
face faceache, prosopalgia, trigeminal
faceache prosopalgia, trigeminal
facial faceache, prosopalgia, trigeminal
fail abort
failed aborted
faint languid
fainting syncope
faintness languor, qualmishness
falling prolapse, prolapsus, psilosis
false pleurodynia
farsighted far-sighted
farsightedness presbyopia
fast tachycardia
fastidious meticulous
fat corpulent, plump
fatalistic pessimistic
fatigue exhaustion
fatigued exhausted
fatiguing exhausting
fatness corpulency, obesity
fatty atheroma
fauchard's rigg's
faulty vitiated
favus porrigo, scald-head, tetter
fear apprehension, agoraphobia, alarm, lectophobia, lectophobia, lyssophobia, lyssophobia, melancholia, melancholy, anxiety, photophobia, anthropophobia, qualmishness, apprehensiveness
fearful anxious, apprehensive, afraid, melancholic, panicky
fears anxieties
feces scybala, coprophagia
feeble languid, debilitated, debility, puny
feebleness languor
feet pedum
fell prolapsed
felon panaritium, whitlow
fervent earnest, vehement
fetid putrefaction, putrefactive, putrid
fever ague, encephalitis, exanthemata, kala-azar, low-fever, meningitis, exanthemata, scarlatina, scarlatina, apyrexia, typhoid, typhoid, typhoid, typhus, typhus, typhus, typhus, typhus, typhus
fever-like scarlatina-like
feverish febrile
fibroids myomata
fibrous scirrhus
fickle capricious
fidgety nervous
filled pervaded
film pellicle
fin ala
finish conclusion
finished incomplete
fire erysipelatous, erysipelas, ergotism
firm immovable, uncompromising
firmly tenacious
first precede, preceded, precedes, preceding, anterior
firstly anteriorly
fish-skin ichthyosis
fissures rhagades
fit paroxysm
fits paroxysms
flabbiness flaccidity
flabby flaccid
flajani's ex-ophthalmic, exophthalmic
flank ilium
flat prostrate
fleck typhus
floaters muscae
floccillation carphologia
flow galactorrhea, catarrhal
flu grippe, influenza, influenzal
fluid edema, edemas
fluor leucorrhaa, leucorrhea
flutter palpitation
fluttering palpitating
flutters palpitations
foetid fetid
followed supervened
following posterior
follows supervenes
foot pedum, tinea
foreskin prepuce
forewarning prodromal
forgetful amnesic, absent-minded
forgetfulness absent-mindedness
forgoing abstaining
forking bifurcation
former previous
formless amorphous
forward anteversion
foul fetid, obscene, odorous
fourth quartan
fradility tenderness
fragile inelastic, tender
frail enfeebled, puny
freckle lentigo
free spontaneous
fretful peevish
fretfulness peevishness
fretting inquietude, whining
friendly sociable
fright terror
frightened afraid, terrified
frightening terrifying
frightful alarming
frights terrors
frog ranula
full replete
fullness plethoric, repletion
furrow scrobiculum
furuncles pimples
fussing whining
futile ineffectual
gagging retching
gaggings retchings
gall-stone cholelithiasis
gall-stones cholethiasis
gallbladder gall-bladder, cholecystitis
gallstone cholelithiasis, gall-stone
gallstones cholethiasis, gall-stones
gangrena noma
gangrene mortification, necrosis
gangrenous necrosed, noma
gaol typhus
garotilla diphtheria
gas flatulence, flatus, borborygmi, flatulency
gasping short-winded, sighing
gassy flatulent, borborygmus
gaunt emaciated, scrawny
gay homosexuality
genitals gonads
ghastly cadaverous
giddiness vertigo
glands adenoid, adenoids
glans penis
glassy hyaline, vitreous
glistening iridescent
globular bulbous
gloom moroseness, despondency
gloomy morbid, morose, despondent, pessimistic, somber, somber
gloss luster
goes abates
goidrous strumous
going lyssophobia
goiter grave's, goitre
goitre grave's
gone absent
gonorrhea blennorrhea
goose goose-flesh, gooseflesh
goose-bumps welts
goose-flesh gooseflesh
goosebumps gooseflesh, goose-flesh
gooshflesh goose-flesh
gout podagra
graecorum psoriasis
granular trachoma, trachoma
grasp comprehension
grating stridulas, crepitation, crepitant
grave's ex-ophthalmic, hyperthyroidism, exophthalmic, basedow's
gravedo coryza
gray leaden-colored
greedy voracious
green chlorides, pea-colored, chlorosis, chloronic, chloro-anemia
greenish chlorotic
grey leaden-colored
grieving lamenting, pining
grippe influenza, influenzal
groin inguinal
groove fossa
grooves fossae
gross repulsive
growth exostosis, hypertrophy, hypertrophic, caruncle, trophic
growths exostoses
grudge spite
gullet windpipe
gumboil gum-boil
gut abdomen
hair alopecia, psilosis
halt arrest
halted arrested
halts arrests
hammond's athetosis
hampered impeded
hansen's lepra, leprosy
hapmering impeding
happen occur
happened occurred
happening occurring
happenings occurrences
happens occurs
hard indurata, indurations, petrous
hardened indurated, sclerosed, sclerotic
hardening induration, sclerema, sclerosis
hardenings indurations
hardy robust
harmless benign
harsh stridulas
hastiness impulsiveness
hasty impulsive, impetuous
hate spite
hateful malicious, spiteful
hates loathes
hating loathing
hatred abhorrence
haughty overweening
head intercranial, occipital, occiput, glans, scald-head, tinea
head-ache megrim, headache
head-aches headaches
head-strong headstrong
headache megrim
healing recuperative
healthy robust
heart cardiac, myocardial, myocardium, bradycardia, asystolia, tachycardia, asystole
heart-burn heartburn
heartburn indigestion, pyrosis, cardialgia, waterbrash
heave vomit
heaved vomited
heaves vomits
heaviness lassitude
heaving vomiting
heavy leaden
heedless oblivious
heights altitudes
help ameliorate
helped ameliorated
hemhorrage apoplexy
hemi-crania hemicrania
hemicrania hemi-crania
hemorrhage petechia, petechial
hemorrhages petechiae
hemorrhagica werlhoff's, werlhoffii
hemorrhoids piles
hereditary congenital
hernia cystocele
herpatic herpetic
herpes shingles, tetter, tinea, vesicle, vesicles, zona, zoster
herpetic herpatic
hesitancy indecisiveness, indecision
hesitant indecisive
hiccup singultus
hidden latent
hidebound scleroderma
higher above
hindered impeded
hindering impeding
hip coxitis
hissing whizzing
histolytica amebiasis
histrionic hysteria
hives urticaria
hoarseness laryngitis
holding tenacious
