bloodshot 1
bloody 1
blotches 1
blotchy 1
blow 0
blowing 0
blown 0
blows 0
blubbering 1
blue 1
blue-black 1
blueness 1
blues 3
bluish 1
bluish-green 1
bluish-red 1
bluish-white 1
blunt 0
blunted 0
blur 1
blurred 1
blurring 1
blushes 1
board 0
boat 0
bodies 0
bodily 0
body 0
body's 0
boggy 1
boil-like 1
boiled 0
boiling 0
boils 1
bolt 0
bolus 0
bone 1
bone-like 1
bone-pains 1
bones 1
bony 1
boom 0
borborygmi 1
borborygmus 1
bordering 0
borders 0
bore 0
bored 3
bores 0
boring 3
born 1
borne 3
borripilations 0
bossy 3
both 0
bothered 3
bottled 0
bottom 0
bound 0
bounding 0
bowel 1
bowels 1
boys 2
brachial 1
brachialgia 1
bradycardia 1
brain 1
brain-fag 1
brain-power 1
bran 0
bran-like 1
brandy 0
brassy 0
bread 2
break 0
break-down 0
breakfast 2
breaking 0
breaks 0
breast 1
breastbone 1
breasts 1
breath 1
breathe 1
breathing 1
breathless 1
breathlessness 1
breeze 2
brick 1
brick-dust 1
brick-red 1
brides 2
bridge 1
bright 0
bright's 1
bright-red 1
brightly 1
brilliant 0
brine 2
bring 0
bringing 0
brings 0
brittle 1
brittleness 1
broad 2
broken 1
broken-down 0
bromidrosis 1
bronchi 1
bronchial 1
bronchiectasis 1
bronchitic 1
bronchitis 1
broncho-pneumonia 1
broncho-pneumonical 1
broncho-pulmonary 1
bronchorrhea 1
bronze-yellow 1
brooding 3
broods 3
brought 0
brow 1
brown 1
brown-black 1
brown-coated 1
brown-yellow 1
brownish 1
brownish-red 1
brownish-yellow 1
browny 1
brows 1
bruise 1
bruised 1
bruises 1
bruising 1
brunettes 2
brush 1
brushed 1
brushing 1
brutal 0
bubble 1
bubbles 1
bubbling 1
bubo 1
buboes 1
bubonic 1
buccal 1
bugs 1
buildup 1
bulbar 1
bulbe 1
bulbous 1
bulges 1
bulging 1
bulimia 1
bullae 1
bunches 1
bung-hole 0
bunion 1
buoyancy 1
burden 3
burdens 3
buried 0
burn 1
burned 1
burning 1
burning-itching 1
burns 1
burnt 1
burrowings 1
bursa 1
bursitis 1
burst 1
bursting 1
bursts 1
business 3
bustle 3
busy 3
busyness 3
but 0
butter 2
buttered 2
buttermilk 2
buttocks 1
buzzing 1
by 0
by-effects 2
